transaction_id,time,amount,customer_id,is_abnormal,reason,transaction_count_last_1_days,rolling_history
11,2024-12-02 10:00:00,9307,19327,1,Số tiền giao dịch lớn.,1,"[[9307, ""2024-12-02 10:00:00""]]"
12,2024-12-02 11:00:00,306,13573,0,,1,"[[306, ""2024-12-02 11:00:00""]]"
13,2024-12-02 12:00:00,1238,19634,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[4771, ""2024-12-02 01:00:00""], [2480, ""2024-12-02 01:00:00""], [3479, ""2024-12-02 10:00:00""], [1238, ""2024-12-02 12:00:00""], [600, ""2024-12-02 17:00:00""], [8526, ""2024-12-02 18:00:00""], [1964, ""2024-12-02 18:00:00""], [2520, ""2024-12-02 19:00:00""], [4460, ""2024-12-02 20:00:00""], [5054, ""2024-12-02 22:00:00""]]"
14,2024-12-02 13:00:00,8536,11125,1,Số tiền giao dịch lớn.,1,"[[8536, ""2024-12-02 13:00:00""]]"
15,2024-12-02 14:00:00,1688,15467,0,,5,"[[2361, ""2024-12-02 01:00:00""], [3258, ""2024-12-02 04:00:00""], [6909, ""2024-12-02 10:00:00""], [1688, ""2024-12-02 14:00:00""], [9193, ""2024-12-02 22:00:00""]]"
16,2024-12-02 15:00:00,400,16755,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 7 giao dịch trong thời gian ngắn.,20,"[[2414, ""2024-12-02 01:00:00""], [8789, ""2024-12-02 03:00:00""], [1167, ""2024-12-02 08:00:00""], [4264, ""2024-12-02 10:00:00""], [2891, ""2024-12-02 10:00:00""], [2404, ""2024-12-02 11:00:00""], [9451, ""2024-12-02 12:00:00""], [5413, ""2024-12-02 13:00:00""], [7497, ""2024-12-02 13:00:00""], [5533, ""2024-12-02 15:00:00""], [400, ""2024-12-02 15:00:00""], [3073, ""2024-12-02 16:00:00""], [224, ""2024-12-02 17:00:00""], [2646, ""2024-12-02 17:00:00""], [87, ""2024-12-02 19:00:00""], [3347, ""2024-12-02 19:00:00""], [1578, ""2024-12-02 19:00:00""], [7991, ""2024-12-02 21:00:00""], [6790, ""2024-12-02 22:00:00""], [3769, ""2024-12-02 23:00:00""]]"
17,2024-12-02 16:00:00,1583,11950,0,,1,"[[1583, ""2024-12-02 16:00:00""]]"
18,2024-12-02 17:00:00,2391,15005,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[6410, ""2024-12-02 01:00:00""], [2278, ""2024-12-02 03:00:00""], [1135, ""2024-12-02 07:00:00""], [9867, ""2024-12-02 08:00:00""], [4694, ""2024-12-02 14:00:00""], [8662, ""2024-12-02 14:00:00""], [7466, ""2024-12-02 15:00:00""], [9173, ""2024-12-02 16:00:00""], [2391, ""2024-12-02 17:00:00""], [7709, ""2024-12-02 19:00:00""]]"
19,2024-12-02 18:00:00,9757,11159,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 7 giao dịch trong thời gian ngắn.,20,"[[9800, ""2024-12-02 01:00:00""], [8161, ""2024-12-02 01:00:00""], [63, ""2024-12-02 04:00:00""], [9213, ""2024-12-02 05:00:00""], [6376, ""2024-12-02 08:00:00""], [805, ""2024-12-02 09:00:00""], [2142, ""2024-12-02 10:00:00""], [7224, ""2024-12-02 11:00:00""], [2396, ""2024-12-02 14:00:00""], [2337, ""2024-12-02 14:00:00""], [2329, ""2024-12-02 15:00:00""], [2637, ""2024-12-02 15:00:00""], [1662, ""2024-12-02 16:00:00""], [2711, ""2024-12-02 16:00:00""], [9862, ""2024-12-02 18:00:00""], [9757, ""2024-12-02 18:00:00""], [2338, ""2024-12-02 21:00:00""], [492, ""2024-12-02 21:00:00""], [9246, ""2024-12-02 22:00:00""], [8913, ""2024-12-02 23:00:00""]]"
20,2024-12-02 19:00:00,6934,11666,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[3100, ""2024-12-02 02:00:00""], [2875, ""2024-12-02 02:00:00""], [637, ""2024-12-02 03:00:00""], [5211, ""2024-12-02 12:00:00""], [3002, ""2024-12-02 12:00:00""], [3786, ""2024-12-02 14:00:00""], [2174, ""2024-12-02 19:00:00""], [6934, ""2024-12-02 19:00:00""], [4094, ""2024-12-02 22:00:00""], [5217, ""2024-12-02 23:00:00""]]"
21,2024-12-02 20:00:00,3004,17422,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,5,"[[5948, ""2024-12-02 04:00:00""], [2337, ""2024-12-02 10:00:00""], [8869, ""2024-12-02 17:00:00""], [3004, ""2024-12-02 20:00:00""], [5302, ""2024-12-02 22:00:00""]]"
22,2024-12-02 21:00:00,9934,19224,1,Số tiền giao dịch lớn.,5,"[[1274, ""2024-12-02 03:00:00""], [4295, ""2024-12-02 14:00:00""], [5473, ""2024-12-02 18:00:00""], [9934, ""2024-12-02 21:00:00""], [4754, ""2024-12-02 23:00:00""]]"
23,2024-12-02 22:00:00,6349,18126,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 6 giao dịch trong thời gian ngắn.,20,"[[4365, ""2024-12-02 02:00:00""], [2923, ""2024-12-02 04:00:00""], [4009, ""2024-12-02 05:00:00""], [1371, ""2024-12-02 05:00:00""], [797, ""2024-12-02 06:00:00""], [3318, ""2024-12-02 07:00:00""], [4898, ""2024-12-02 08:00:00""], [4595, ""2024-12-02 08:00:00""], [1868, ""2024-12-02 09:00:00""], [3418, ""2024-12-02 10:00:00""], [4957, ""2024-12-02 11:00:00""], [2517, ""2024-12-02 15:00:00""], [7922, ""2024-12-02 15:00:00""], [6744, ""2024-12-02 15:00:00""], [2391, ""2024-12-02 16:00:00""], [729, ""2024-12-02 19:00:00""], [8640, ""2024-12-02 21:00:00""], [4839, ""2024-12-02 22:00:00""], [6349, ""2024-12-02 22:00:00""], [5912, ""2024-12-02 23:00:00""]]"
24,2024-12-02 23:00:00,2133,15218,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,5,"[[3127, ""2024-12-02 02:00:00""], [8597, ""2024-12-02 09:00:00""], [8482, ""2024-12-02 15:00:00""], [7081, ""2024-12-02 20:00:00""], [2133, ""2024-12-02 23:00:00""]]"
25,2024-12-03 00:00:00,7292,16207,1,Số tiền giao dịch lớn.,1,"[[7292, ""2024-12-03 00:00:00""]]"
26,2024-12-03 01:00:00,8874,17306,1,Số tiền giao dịch lớn.,5,"[[2288, ""2024-12-02 01:00:00""], [7169, ""2024-12-02 01:00:00""], [603, ""2024-12-02 04:00:00""], [3983, ""2024-12-02 06:00:00""], [8874, ""2024-12-03 01:00:00""]]"
27,2024-12-03 02:00:00,2499,19350,1,Nhiều giao dịch lớn (> 3000) vào ban khuya.,5,"[[7291, ""2024-12-02 03:00:00""], [6345, ""2024-12-02 04:00:00""], [780, ""2024-12-02 08:00:00""], [3158, ""2024-12-02 10:00:00""], [2499, ""2024-12-03 02:00:00""]]"
28,2024-12-03 03:00:00,7213,12323,1,Số tiền giao dịch lớn.,1,"[[7213, ""2024-12-03 03:00:00""]]"
29,2024-12-03 04:00:00,5989,18808,0,,1,"[[5989, ""2024-12-03 04:00:00""]]"
30,2024-12-03 05:00:00,3563,10338,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[2740, ""2024-12-02 03:00:00""], [6877, ""2024-12-02 06:00:00""], [7420, ""2024-12-02 09:00:00""], [8023, ""2024-12-02 15:00:00""], [1317, ""2024-12-02 15:00:00""], [9330, ""2024-12-02 16:00:00""], [6419, ""2024-12-02 17:00:00""], [342, ""2024-12-02 17:00:00""], [4072, ""2024-12-02 17:00:00""], [3563, ""2024-12-03 05:00:00""]]"
31,2024-12-03 06:00:00,313,10110,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000.,15,"[[3957, ""2024-12-02 03:00:00""], [1255, ""2024-12-02 04:00:00""], [9377, ""2024-12-02 06:00:00""], [6791, ""2024-12-02 07:00:00""], [4730, ""2024-12-02 09:00:00""], [3696, ""2024-12-02 12:00:00""], [2584, ""2024-12-02 13:00:00""], [6679, ""2024-12-02 17:00:00""], [8490, ""2024-12-02 18:00:00""], [8782, ""2024-12-02 18:00:00""], [1966, ""2024-12-02 18:00:00""], [7391, ""2024-12-02 18:00:00""], [3080, ""2024-12-02 20:00:00""], [4060, ""2024-12-02 21:00:00""], [313, ""2024-12-03 06:00:00""]]"
32,2024-12-03 07:00:00,2769,18843,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 8 giao dịch trong thời gian ngắn.,20,"[[8023, ""2024-12-02 05:00:00""], [5450, ""2024-12-02 05:00:00""], [4568, ""2024-12-02 06:00:00""], [444, ""2024-12-02 08:00:00""], [5257, ""2024-12-02 08:00:00""], [8311, ""2024-12-02 09:00:00""], [7885, ""2024-12-02 09:00:00""], [6348, ""2024-12-02 15:00:00""], [801, ""2024-12-02 15:00:00""], [222, ""2024-12-02 16:00:00""], [1757, ""2024-12-02 17:00:00""], [381, ""2024-12-02 18:00:00""], [4151, ""2024-12-02 20:00:00""], [3931, ""2024-12-02 20:00:00""], [6883, ""2024-12-02 20:00:00""], [1159, ""2024-12-02 21:00:00""], [116, ""2024-12-02 21:00:00""], [3707, ""2024-12-02 22:00:00""], [549, ""2024-12-02 23:00:00""], [2769, ""2024-12-03 07:00:00""]]"
33,2024-12-03 08:00:00,8099,15588,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000.,15,"[[7295, ""2024-12-02 01:00:00""], [6454, ""2024-12-02 03:00:00""], [1377, ""2024-12-02 03:00:00""], [1966, ""2024-12-02 06:00:00""], [1916, ""2024-12-02 08:00:00""], [1443, ""2024-12-02 09:00:00""], [8035, ""2024-12-02 10:00:00""], [4749, ""2024-12-02 11:00:00""], [6257, ""2024-12-02 11:00:00""], [1695, ""2024-12-02 12:00:00""], [4904, ""2024-12-02 12:00:00""], [2929, ""2024-12-02 15:00:00""], [5390, ""2024-12-02 20:00:00""], [8283, ""2024-12-02 22:00:00""], [8099, ""2024-12-03 08:00:00""]]"
34,2024-12-03 09:00:00,4219,12096,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 8 giao dịch trong thời gian ngắn.,20,"[[8447, ""2024-12-02 01:00:00""], [3787, ""2024-12-02 01:00:00""], [8197, ""2024-12-02 02:00:00""], [8502, ""2024-12-02 02:00:00""], [5361, ""2024-12-02 03:00:00""], [8357, ""2024-12-02 05:00:00""], [2762, ""2024-12-02 05:00:00""], [3294, ""2024-12-02 09:00:00""], [6859, ""2024-12-02 10:00:00""], [4582, ""2024-12-02 11:00:00""], [2083, ""2024-12-02 12:00:00""], [4675, ""2024-12-02 14:00:00""], [1218, ""2024-12-02 15:00:00""], [6582, ""2024-12-02 15:00:00""], [9922, ""2024-12-02 16:00:00""], [3038, ""2024-12-02 16:00:00""], [2624, ""2024-12-02 17:00:00""], [7808, ""2024-12-02 17:00:00""], [4797, ""2024-12-02 17:00:00""], [4219, ""2024-12-03 09:00:00""]]"
35,2024-12-03 10:00:00,8269,18139,1,Số tiền giao dịch lớn.,1,"[[8269, ""2024-12-03 10:00:00""]]"
36,2024-12-03 11:00:00,2221,10077,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[9217, ""2024-12-02 03:00:00""], [2635, ""2024-12-02 05:00:00""], [1475, ""2024-12-02 05:00:00""], [4639, ""2024-12-02 07:00:00""], [6270, ""2024-12-02 07:00:00""], [1317, ""2024-12-02 11:00:00""], [780, ""2024-12-02 14:00:00""], [52, ""2024-12-02 15:00:00""], [8783, ""2024-12-02 23:00:00""], [2221, ""2024-12-03 11:00:00""]]"
37,2024-12-03 12:00:00,4252,15010,0,,10,"[[7072, ""2024-12-02 01:00:00""], [9704, ""2024-12-02 01:00:00""], [2874, ""2024-12-02 03:00:00""], [4501, ""2024-12-02 03:00:00""], [1201, ""2024-12-02 03:00:00""], [5471, ""2024-12-02 04:00:00""], [2755, ""2024-12-02 09:00:00""], [1619, ""2024-12-02 11:00:00""], [3809, ""2024-12-02 13:00:00""], [4252, ""2024-12-03 12:00:00""]]"
38,2024-12-03 13:00:00,2250,17605,0,,1,"[[2250, ""2024-12-03 13:00:00""]]"
39,2024-12-03 14:00:00,1643,19645,0,,1,"[[1643, ""2024-12-03 14:00:00""]]"
40,2024-12-03 15:00:00,453,14762,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000.,15,"[[3804, ""2024-12-02 01:00:00""], [2951, ""2024-12-02 02:00:00""], [2075, ""2024-12-02 03:00:00""], [4099, ""2024-12-02 09:00:00""], [2652, ""2024-12-02 09:00:00""], [9020, ""2024-12-02 09:00:00""], [9853, ""2024-12-02 10:00:00""], [4971, ""2024-12-02 11:00:00""], [9558, ""2024-12-02 13:00:00""], [6416, ""2024-12-02 13:00:00""], [5763, ""2024-12-02 15:00:00""], [9884, ""2024-12-02 16:00:00""], [9970, ""2024-12-02 18:00:00""], [6604, ""2024-12-02 22:00:00""], [453, ""2024-12-03 15:00:00""]]"
41,2024-12-03 16:00:00,1651,17956,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 6 giao dịch trong thời gian ngắn.,15,"[[4322, ""2024-12-02 03:00:00""], [8907, ""2024-12-02 03:00:00""], [3751, ""2024-12-02 07:00:00""], [8146, ""2024-12-02 12:00:00""], [9419, ""2024-12-02 14:00:00""], [9311, ""2024-12-02 14:00:00""], [7061, ""2024-12-02 16:00:00""], [836, ""2024-12-02 17:00:00""], [6044, ""2024-12-02 17:00:00""], [4676, ""2024-12-02 20:00:00""], [3833, ""2024-12-02 20:00:00""], [6531, ""2024-12-02 21:00:00""], [7061, ""2024-12-02 21:00:00""], [1046, ""2024-12-02 23:00:00""], [1651, ""2024-12-03 16:00:00""]]"
42,2024-12-03 17:00:00,9471,19909,1,Số tiền giao dịch lớn.,10,"[[3713, ""2024-12-02 06:00:00""], [1723, ""2024-12-02 06:00:00""], [5380, ""2024-12-02 06:00:00""], [2800, ""2024-12-02 07:00:00""], [2993, ""2024-12-02 10:00:00""], [5840, ""2024-12-02 12:00:00""], [8525, ""2024-12-02 13:00:00""], [1497, ""2024-12-02 15:00:00""], [2275, ""2024-12-02 23:00:00""], [9471, ""2024-12-03 17:00:00""]]"
43,2024-12-03 18:00:00,3240,12030,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[109, ""2024-12-02 02:00:00""], [1423, ""2024-12-02 02:00:00""], [7058, ""2024-12-02 03:00:00""], [6249, ""2024-12-02 08:00:00""], [5037, ""2024-12-02 08:00:00""], [5581, ""2024-12-02 13:00:00""], [5582, ""2024-12-02 15:00:00""], [5736, ""2024-12-02 20:00:00""], [3471, ""2024-12-02 21:00:00""], [3240, ""2024-12-03 18:00:00""]]"
44,2024-12-03 19:00:00,8363,10465,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000.,20,"[[4116, ""2024-12-02 02:00:00""], [9071, ""2024-12-02 04:00:00""], [8420, ""2024-12-02 05:00:00""], [8657, ""2024-12-02 06:00:00""], [6306, ""2024-12-02 07:00:00""], [5032, ""2024-12-02 08:00:00""], [4033, ""2024-12-02 10:00:00""], [1508, ""2024-12-02 10:00:00""], [5715, ""2024-12-02 11:00:00""], [2477, ""2024-12-02 11:00:00""], [9544, ""2024-12-02 14:00:00""], [5562, ""2024-12-02 14:00:00""], [9717, ""2024-12-02 15:00:00""], [3872, ""2024-12-02 16:00:00""], [4825, ""2024-12-02 17:00:00""], [5183, ""2024-12-02 21:00:00""], [4971, ""2024-12-02 22:00:00""], [2415, ""2024-12-02 23:00:00""], [5817, ""2024-12-02 23:00:00""], [8363, ""2024-12-03 19:00:00""]]"
45,2024-12-03 20:00:00,3947,16245,0,,1,"[[3947, ""2024-12-03 20:00:00""]]"
46,2024-12-03 21:00:00,1092,17437,0,,1,"[[1092, ""2024-12-03 21:00:00""]]"
47,2024-12-03 22:00:00,4448,18303,0,,1,"[[4448, ""2024-12-03 22:00:00""]]"
48,2024-12-03 23:00:00,8569,13513,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya. Liên tục 8 giao dịch trong thời gian ngắn.,20,"[[4700, ""2024-12-02 01:00:00""], [319, ""2024-12-02 01:00:00""], [3479, ""2024-12-02 02:00:00""], [8568, ""2024-12-02 02:00:00""], [1783, ""2024-12-02 03:00:00""], [2858, ""2024-12-02 04:00:00""], [8932, ""2024-12-02 04:00:00""], [4662, ""2024-12-02 06:00:00""], [7999, ""2024-12-02 06:00:00""], [7334, ""2024-12-02 12:00:00""], [1187, ""2024-12-02 13:00:00""], [7954, ""2024-12-02 13:00:00""], [1145, ""2024-12-02 14:00:00""], [7412, ""2024-12-02 16:00:00""], [5687, ""2024-12-02 18:00:00""], [6898, ""2024-12-02 18:00:00""], [4112, ""2024-12-02 21:00:00""], [8501, ""2024-12-02 21:00:00""], [7523, ""2024-12-02 22:00:00""], [8569, ""2024-12-03 23:00:00""]]"
49,2024-12-04 00:00:00,9929,19732,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000.,15,"[[2414, ""2024-12-02 03:00:00""], [4072, ""2024-12-02 05:00:00""], [3073, ""2024-12-02 06:00:00""], [3157, ""2024-12-02 10:00:00""], [7705, ""2024-12-02 11:00:00""], [2016, ""2024-12-02 11:00:00""], [3178, ""2024-12-02 13:00:00""], [6185, ""2024-12-02 14:00:00""], [9658, ""2024-12-02 14:00:00""], [8056, ""2024-12-02 14:00:00""], [4287, ""2024-12-02 16:00:00""], [6121, ""2024-12-02 19:00:00""], [9280, ""2024-12-02 21:00:00""], [5856, ""2024-12-02 22:00:00""], [9929, ""2024-12-04 00:00:00""]]"
50,2024-12-04 01:00:00,1473,11278,1,3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya.,10,"[[8381, ""2024-12-02 01:00:00""], [3156, ""2024-12-02 05:00:00""], [9527, ""2024-12-02 06:00:00""], [8962, ""2024-12-02 06:00:00""], [9309, ""2024-12-02 07:00:00""], [6538, ""2024-12-02 15:00:00""], [989, ""2024-12-02 21:00:00""], [6134, ""2024-12-02 23:00:00""], [8648, ""2024-12-02 23:00:00""], [1473, ""2024-12-04 01:00:00""]]"
51,2024-12-04 02:00:00,582,14102,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya. Liên tục 7 giao dịch trong thời gian ngắn.,20,"[[5667, ""2024-12-02 01:00:00""], [3061, ""2024-12-02 01:00:00""], [1950, ""2024-12-02 02:00:00""], [4180, ""2024-12-02 03:00:00""], [4553, ""2024-12-02 04:00:00""], [1671, ""2024-12-02 05:00:00""], [9152, ""2024-12-02 05:00:00""], [6192, ""2024-12-02 07:00:00""], [7959, ""2024-12-02 07:00:00""], [6622, ""2024-12-02 08:00:00""], [3955, ""2024-12-02 14:00:00""], [4100, ""2024-12-02 16:00:00""], [2945, ""2024-12-02 16:00:00""], [664, ""2024-12-02 17:00:00""], [3685, ""2024-12-02 18:00:00""], [4506, ""2024-12-02 18:00:00""], [7733, ""2024-12-02 22:00:00""], [1966, ""2024-12-02 22:00:00""], [1054, ""2024-12-02 23:00:00""], [582, ""2024-12-04 02:00:00""]]"
52,2024-12-04 03:00:00,2060,19877,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 6 giao dịch trong thời gian ngắn.,15,"[[8901, ""2024-12-02 05:00:00""], [4103, ""2024-12-02 06:00:00""], [5772, ""2024-12-02 07:00:00""], [7451, ""2024-12-02 09:00:00""], [5136, ""2024-12-02 10:00:00""], [1245, ""2024-12-02 11:00:00""], [2689, ""2024-12-02 11:00:00""], [8038, ""2024-12-02 11:00:00""], [5119, ""2024-12-02 12:00:00""], [4374, ""2024-12-02 15:00:00""], [9600, ""2024-12-02 20:00:00""], [3564, ""2024-12-02 20:00:00""], [9111, ""2024-12-02 20:00:00""], [7069, ""2024-12-02 20:00:00""], [2060, ""2024-12-04 03:00:00""]]"
53,2024-12-04 04:00:00,4130,15403,0,,1,"[[4130, ""2024-12-04 04:00:00""]]"
54,2024-12-04 05:00:00,1488,12316,0,,1,"[[1488, ""2024-12-04 05:00:00""]]"
55,2024-12-04 06:00:00,3725,19768,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000.,15,"[[3247, ""2024-12-02 02:00:00""], [8834, ""2024-12-02 06:00:00""], [8622, ""2024-12-02 09:00:00""], [8068, ""2024-12-02 10:00:00""], [6814, ""2024-12-02 11:00:00""], [5464, ""2024-12-02 14:00:00""], [5305, ""2024-12-02 15:00:00""], [8104, ""2024-12-02 15:00:00""], [4498, ""2024-12-02 16:00:00""], [3086, ""2024-12-02 16:00:00""], [9416, ""2024-12-02 17:00:00""], [9992, ""2024-12-02 18:00:00""], [9323, ""2024-12-02 20:00:00""], [2238, ""2024-12-02 22:00:00""], [3725, ""2024-12-04 06:00:00""]]"
56,2024-12-04 07:00:00,884,15620,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[6011, ""2024-12-02 01:00:00""], [4335, ""2024-12-02 04:00:00""], [1042, ""2024-12-02 08:00:00""], [5731, ""2024-12-02 13:00:00""], [5732, ""2024-12-02 17:00:00""], [1145, ""2024-12-02 20:00:00""], [5810, ""2024-12-02 21:00:00""], [7602, ""2024-12-02 21:00:00""], [4711, ""2024-12-02 22:00:00""], [884, ""2024-12-04 07:00:00""]]"
57,2024-12-04 08:00:00,8158,18736,1,Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[8347, ""2024-12-02 03:00:00""], [9451, ""2024-12-02 04:00:00""], [1165, ""2024-12-02 05:00:00""], [9697, ""2024-12-02 10:00:00""], [8240, ""2024-12-02 16:00:00""], [4642, ""2024-12-02 16:00:00""], [830, ""2024-12-02 18:00:00""], [3680, ""2024-12-02 20:00:00""], [8928, ""2024-12-02 20:00:00""], [8158, ""2024-12-04 08:00:00""]]"
